Date,EUR,JPY,GBP,CNY
2016-04-13,0.886593,109.1073,0.704043,6.476144
2016-04-14,0.887754,109.311,0.706871,6.480009
2016-04-15,0.886227,108.8711,0.704004,6.477724
2016-04-16,0.886227,108.8444,0.704004,6.477285
2016-04-17,0.88559,108.4468,0.705194,6.47561
2016-04-18,0.884149,108.847599,0.700579,6.475425
2016-04-19,0.880511,109.0899,0.694862,6.462458
2016-04-20,0.88492,109.628999,0.697586,6.469158
2016-04-21,0.885892,109.3942,0.698431,6.478653
2016-04-22,0.89089,111.349801,0.694145,6.495925
2016-04-23,0.89089,111.519701,0.694145,6.49868
2016-04-24,0.890497,111.6286,0.692184,6.498291
2016-04-25,0.887502,111.335799,0.690595,6.493659
2016-04-26,0.885108,111.266999,0.686026,6.494053
2016-04-27,0.882817,111.4243,0.687897,6.49567
2016-04-28,0.880903,108.771101,0.684586,6.479235
2016-04-29,0.87342,106.974501,0.684428,6.477582
2016-04-30,0.87342,106.578101,0.684428,6.476316
2016-05-01,0.872856,106.6129,0.685235,6.473837
2016-05-02,0.867514,106.4004,0.681817,6.475027
2016-05-03,0.869579,106.750101,0.687595,6.485451
2016-05-04,0.870447,106.812999,0.689636,6.495644
2016-05-05,0.876985,107.218101,0.69026,6.503766
2016-05-06,0.876834,107.120801,0.693019,6.498775
2016-05-07,0.876834,107.091201,0.693019,6.498676
2016-05-08,0.877215,107.214399,0.69331,6.499638
2016-05-09,0.878552,108.1517,0.693958,6.512987
2016-05-10,0.879172,108.9903,0.692177,6.516888
2016-05-11,0.875338,108.553099,0.692427,6.498888
2016-05-12,0.87903,108.937899,0.692249,6.514758
2016-05-13,0.884388,108.6808,0.696434,6.527841
2016-05-14,0.884388,108.6899,0.696434,6.530937
2016-05-15,0.884634,108.5718,0.69652,6.532749
2016-05-16,0.883873,108.8909,0.694569,6.526489
2016-05-17,0.884107,108.9186,0.692861,6.525339
2016-05-18,0.889325,109.531799,0.687725,6.535819
2016-05-19,0.892629,109.4101,0.687547,6.542139
2016-05-20,0.891074,110.1125,0.689554,6.546513
2016-05-21,0.891074,110.1469,0.689554,6.547007
2016-05-22,0.891374,110.1943,0.689831,6.547487
2016-05-23,0.891402,109.423101,0.690518,6.553711
2016-05-24,0.897573,109.9272,0.683903,6.556021
2016-05-25,0.89639,110.0764,0.680285,6.556137
2016-05-26,0.893438,109.7998,0.681904,6.557342
2016-05-27,0.899673,110.196501,0.683935,6.563141
2016-05-28,0.899673,110.199201,0.683935,6.563832
2016-05-29,0.899723,110.5796,0.684366,6.56561
2016-05-30,0.897693,110.876001,0.683585,6.578507
2016-05-31,0.898306,110.785,0.690143,6.583298
2016-06-01,0.894038,109.8413,0.693793,6.578976
2016-06-02,0.896741,109.0602,0.693701,6.584417
2016-06-03,0.879809,107.0357,0.688891,6.56561
2016-06-04,0.879809,106.8602,0.688891,6.565263
2016-06-05,0.880178,106.674199,0.691152,6.563588
2016-06-06,0.880554,107.3337,0.691999,6.56494
2016-06-07,0.880604,107.2456,0.687857,6.571832
2016-06-08,0.877204,107.035799,0.689124,6.566024
2016-06-09,0.883622,107.0032,0.691446,6.563784
2016-06-10,0.888707,106.9022,0.701358,6.562459
2016-06-11,0.888707,106.9597,0.701358,6.562414
2016-06-12,0.888807,106.801701,0.702975,6.562868
2016-06-13,0.88577,106.2527,0.703859,6.581724
2016-06-14,0.89219,106.077701,0.708665,6.594052
2016-06-15,0.887801,105.8872,0.704392,6.583685
2016-06-16,0.890228,104.7312,0.70368,6.5908
2016-06-17,0.88682,104.2546,0.696445,6.584284
2016-06-18,0.88682,104.1958,0.696445,6.584912
2016-06-19,0.885093,104.5879,0.691204,6.57745
2016-06-20,0.883703,103.969199,0.681114,6.58148
2016-06-21,0.88837,104.651,0.681982,6.592638
2016-06-22,0.882509,104.642,0.676263,6.577821
2016-06-23,0.878304,105.9424,0.669428,6.580507
2016-06-24,0.899972,102.825799,0.731488,6.59497
2016-06-25,0.899972,102.393899,0.731488,6.602861
2016-06-26,0.901722,102.1466,0.743452,6.594519
2016-06-27,0.907656,102.0192,0.7563,6.642418
2016-06-28,0.902988,102.476101,0.748678,6.646787
2016-06-29,0.898898,102.7387,0.743363,6.638971
2016-06-30,0.9009,103.0811,0.75188,6.648787
2016-07-01,0.8978,102.5818,0.75343,6.653846
2016-07-02,0.8978,102.5597,0.753338,6.656218
2016-07-03,0.89805,102.598001,0.752785,6.65428
2016-07-04,0.8969,102.539599,0.752878,6.660143
2016-07-05,0.9036,101.8535,0.768423,6.675595
2016-07-06,0.90105,101.337201,0.774705,6.687446
2016-07-07,0.904,100.7827,0.77523,6.682543
2016-07-08,0.9047,100.6318,0.772123,6.687958
2016-07-09,0.9047,100.5655,0.772123,6.688531
2016-07-10,0.905,100.6904,0.772845,6.68921
2016-07-11,0.90395,102.2538,0.769668,6.69325
2016-07-12,0.9038,104.168001,0.754655,6.693359
2016-07-13,0.90095,104.1032,0.76209,6.686662
2016-07-14,0.90015,105.0215,0.749475,6.683645
2016-07-15,0.9061,104.8893,0.75832,6.688424
2016-07-16,0.9061,105.0047,0.75832,6.688366
2016-07-17,0.9042,105.435,0.75466,6.683117
2016-07-18,0.90315,105.9284,0.753848,6.701411
2016-07-19,0.9077,106.1191,0.762733,6.695002
2016-07-20,0.90745,107.0259,0.75417,6.680247
2016-07-21,0.9067,105.922,0.756083,6.676777
2016-07-22,0.91085,106.164,0.761133,6.677937
2016-07-23,0.91085,106.0515,0.761133,6.677655
2016-07-24,0.9116,106.1968,0.760008,6.683736
2016-07-25,0.90945,105.7828,0.761333,6.678466
2016-07-26,0.91,105.1497,0.760668,6.673576
2016-07-27,0.90345,105.0668,0.756018,6.670596
2016-07-28,0.90225,104.9216,0.76016,6.658572
2016-07-29,0.8949,102.6093,0.755895,6.641648
2016-07-30,0.89475,102.36825,0.755895,6.639295
2016-07-31,0.89525,102.2926,0.757013,6.639282
2016-08-01,0.89555,102.3038,0.758543,6.643572
2016-08-02,0.89115,101.3282,0.749375,6.628294
2016-08-03,0.8968,101.3787,0.750515,6.634961
2016-08-04,0.8984,101.190899,0.762223,6.638801
2016-08-05,0.902,101.7204,0.765003,6.651375
2016-08-06,0.902,101.7428,0.765003,6.653047
2016-08-07,0.9017,102.0854,0.764673,6.663924
2016-08-08,0.90195,102.248,0.767043,6.659992
2016-08-09,0.8995,102.012,0.768878,6.656052
2016-08-10,0.89385,101.392201,0.768163,6.64115
2016-08-11,0.89775,101.7558,0.771845,6.634522
2016-08-12,0.8958,101.2857,0.77392,6.635029
2016-08-13,0.8958,101.3477,0.77392,6.635375
2016-08-14,0.8958,101.339001,0.774848,6.640636
2016-08-15,0.89425,101.242799,0.776195,6.637306
2016-08-16,0.8869,100.4891,0.767508,6.627776
2016-08-17,0.885,99.97336,0.766693,6.631854
2016-08-18,0.8813,100.196601,0.75989,6.630202
2016-08-19,0.88275,100.1868,0.764785,6.647307
2016-08-20,0.88275,100.2131,0.764785,6.650456
2016-08-21,0.88415,100.438101,0.765265,6.643346
2016-08-22,0.88345,100.3199,0.76138,6.649663
2016-08-23,0.88455,100.3461,0.757815,6.643146
2016-08-24,0.88775,100.4456,0.755508,6.65542
2016-08-25,0.8859,100.5239,0.758068,6.657224
2016-08-26,0.89295,101.5493,0.761203,6.666592
2016-08-27,0.89295,101.5968,0.761203,6.668375
2016-08-28,0.8929,101.9524,0.761483,6.67425
2016-08-29,0.89365,101.898201,0.762898,6.678174
2016-08-30,0.89685,102.7729,0.764405,6.680095
2016-08-31,0.8959,103.140999,0.760908,6.678867
2016-09-01,0.89325,103.2399,0.753395,6.673568
2016-09-02,0.8963,103.8218,0.75217,6.68036
2016-09-03,0.8963,103.8626,0.75217,6.680436
2016-09-04,0.8961,103.9898,0.75219,6.680788
2016-09-05,0.8968,103.566399,0.751813,6.677613
2016-09-06,0.88885,102.1073,0.74513,6.673976
2016-09-07,0.8896,101.989,0.749803,6.665248
2016-09-08,0.8873,102.1654,0.751643,6.664976
2016-09-09,0.89035,102.5202,0.75363,6.677008
2016-09-10,0.89035,102.643,0.75363,6.680223
2016-09-11,0.88975,102.5068,0.75377,6.68358
2016-09-12,0.88965,102.030001,0.749823,6.681372
2016-09-13,0.89135,102.4491,0.758045,6.678993
2016-09-14,0.8892,102.413601,0.754033,6.675312
2016-09-15,0.88905,102.1142,0.754923,6.672658
2016-09-16,0.89615,102.288599,0.7691,6.671821
2016-09-17,0.89615,102.240999,0.7691,6.671806
2016-09-18,0.89595,102.332701,0.768423,6.672292
2016-09-19,0.8944,101.9253,0.766803,6.668868
2016-09-20,0.89665,101.6913,0.770028,6.673789
2016-09-21,0.8936,100.6285,0.767393,6.670689
2016-09-22,0.89205,100.9217,0.76432,6.665944
2016-09-23,0.89055,100.918701,0.771235,6.670203
2016-09-24,0.89055,100.997801,0.771235,6.670311
2016-09-25,0.88965,100.9314,0.770418,6.66523
2016-09-26,0.88885,100.4924,0.771038,6.668292
2016-09-27,0.8914,100.3852,0.7683,6.668854
2016-09-28,0.8908,100.8564,0.766745,6.673313
2016-09-29,0.89125,101.072699,0.771255,6.667975
2016-09-30,0.889389,101.314,0.77058,6.669021
2016-10-01,0.8897,101.2998,0.77056,6.669864
2016-10-02,0.89,101.419,0.773478,6.657078
2016-10-03,0.8917,101.703201,0.777895,6.671042
2016-10-04,0.89215,102.584999,0.7854,6.669909
2016-10-05,0.89195,103.237501,0.784053,6.671121
2016-10-06,0.8977,103.756201,0.808183,6.671442
2016-10-07,0.89265,103.0811,0.804165,6.671548
2016-10-08,0.89265,103.0575,0.804165,6.671549
2016-10-09,0.89315,102.9937,0.804238,6.673553
2016-10-10,0.89745,103.4901,0.809413,6.700272
2016-10-11,0.90385,103.363799,0.815488,6.71667
2016-10-12,0.90785,104.1843,0.820245,6.717927
2016-10-13,0.90475,103.692401,0.81687,6.725505
2016-10-14,0.91135,104.112001,0.82041,6.727443
2016-10-15,0.91135,104.152801,0.82041,6.727637
2016-10-16,0.9116,104.1333,0.821823,6.729308
2016-10-17,0.9086,103.9401,0.819635,6.735186
2016-10-18,0.9107,103.876599,0.812988,6.739771
2016-10-19,0.91115,103.4827,0.813918,6.738077
2016-10-20,0.91495,104.002101,0.815918,6.743877
2016-10-21,0.9186,103.785301,0.81745,6.759616
2016-10-22,0.9186,103.825401,0.81745,6.763363
2016-10-23,0.91905,103.9211,0.818563,6.766041
2016-10-24,0.91955,104.226699,0.818315,6.772514
2016-10-25,0.9184,104.103199,0.821175,6.778224
2016-10-26,0.91655,104.5573,0.816918,6.772034
2016-10-27,0.91755,105.0569,0.822038,6.781475
2016-10-28,0.91005,104.7323,0.820395,6.776896
2016-10-29,0.91005,104.8146,0.820395,6.777443
2016-10-30,0.91055,104.656799,0.819728,6.773434
2016-10-31,0.9114,104.8254,0.817208,6.77677
2016-11-01,0.9043,104.218101,0.81692,6.768246
2016-11-02,0.90115,103.6538,0.812755,6.759529
2016-11-03,0.90065,103.116699,0.802233,6.764454
2016-11-04,0.89725,103.099399,0.798998,6.756386
2016-11-05,0.89725,103.103599,0.798998,6.756066
2016-11-06,0.90155,103.954401,0.801823,6.762984
